,公司全称,英文名称,A股代码,A股简称,A股上市日期,省    份,城     市,所属行业,公司网址
szA_000935,四川双马水泥股份有限公司,SICHUAN SHUANGMA CEMENT CO.LTD,000935,四川双马,1999-08-24,四川,绵阳市,C 制造业,www.cement.com.cn
szA_000936,江苏华西村股份有限公司,"JIANGSU HUAXICUN CO., LTD.",000936,华西股份,1999-08-10,江苏,无锡市,C 制造业,www.jshuaxicun.com、www.v-capital.cn
szA_000937,冀中能源股份有限公司,"Jizhong  Energy  Resources  Co., Ltd.",000937,冀中能源,1999-09-09,河北,邢台市,B 采矿业,www.jznygf.com
szA_000938,紫光股份有限公司,Unisplendour Corporation Limited,000938,紫光股份,1999-11-04,北京,北京市,C 制造业,www.unis.cn
szA_000939,凯迪生态环境科技股份有限公司,"KAIDI ECOLOGICAL AND ENVIRONMENTAL TECHNOLOGY CO.,LTD",000939,凯迪生态,1999-09-23,湖北,武汉市,D 水电煤气,www.china-kaidi.com
szA_000948,云南南天电子信息产业股份有限公司,"YUNNAN NANTIAN ELECTRONICS INFORMATION CO.,LTD",000948,南天信息,1999-10-14,云南,昆明市,I 信息技术,www.nantian.com.cn
szA_000949,新乡化纤股份有限公司,"XINXIANG CHEMICAL FIBER CO., LTD",000949,新乡化纤,1999-10-21,河南,新乡市,C 制造业,www.bailu.com
szA_000950,重庆建峰化工股份有限公司,"CHONGQING JIANFENG CHEMICAL CO.,LTD",000950,*ST建峰,1999-09-16,重庆,重庆市,C 制造业,www.jfhggf.com
szA_000951,中国重汽集团济南卡车股份有限公司,"SINOTRUK Jinan  Truck  CO., LTD.",000951,中国重汽,1999-11-25,山东,济南市,C 制造业,www.jntruck.com
szA_000952,湖北广济药业股份有限公司,"HUBEI GUANGJI PHARMACEUTICAL CO., LTD",000952,广济药业,1999-11-12,湖北,黄冈市,C 制造业,www.guangjipharm.com
szA_000953,广西河池化工股份有限公司,"GUANGXI HECHI CHEMICAL CO.,LTD",000953,*ST河化,1999-12-02,广西,河池市,C 制造业,www.hechihuagong.com.cn
szA_000955,欣龙控股（集团）股份有限公司,"XINLONG HOLDING （GROUP） CO., LTD.",000955,欣龙控股,1999-12-09,海南,澄迈县,C 制造业,www.xinlong-holding.com
szA_000957,中通客车控股股份有限公司,"ZHONGTONG BUS  HOLDING CO.,LTD",000957,中通客车,2000-01-13,山东,聊城市,C 制造业,www.zhongtong.com
szA_000958,石家庄东方能源股份有限公司,SPIC SHIJIAZHUANG DONGFANG ENERGY CORPORATION,000958,东方能源,1999-12-23,河北,石家庄市,D 水电煤气,www.dfrdjt.com
szA_000959,北京首钢股份有限公司,"BEIJING SHOUGANG CO.,LTD",000959,首钢股份,1999-12-16,北京,北京市,C 制造业,www.sggf.com.cn
szA_000960,云南锡业股份有限公司,"Yunnan Tin Co., Ltd.",000960,锡业股份,2000-02-21,云南,昆明市,C 制造业,www.ytl.com.cn
szA_000961,江苏中南建设集团股份有限公司,"Jiangsu Zhongnan Construction Group CO.,LTD",000961,中南建设,2000-03-01,江苏,南通市,E 建筑业,www.zhongnanconstruction.cn
szA_000962,宁夏东方钽业股份有限公司,"NINGXIA ORIENT TANTALUM INDUSTRY CO.,LTD",000962,东方钽业,2000-01-20,宁夏,石嘴山市,C 制造业,www.otic.com.cn
szA_000963,华东医药股份有限公司,"HUADONG MEDICINE CO.,LTD",000963,华东医药,2000-01-27,浙江,杭州市,F 批发零售,www.eastchinapharm.com
szA_000965,天津天保基建股份有限公司,Tianjin Tianbao Infrastructure Co..Ltd,000965,天保基建,2000-04-06,天津,天津市,K 房地产,www.tbjijian.com
szA_000966,国电长源电力股份有限公司,"GUODIAN CHANGYUAN ELECTRIC POWER CO.,LTD.",000966,长源电力,2000-03-16,湖北,武汉市,D 水电煤气,www.cydl.com.cn
szA_000967,盈峰环境科技集团股份有限公司,Infore Environment Technology Group Co. Ltd.,000967,盈峰环境,2000-03-30,浙江,绍兴市,C 制造业,www.inforeenviro.com
szA_000968,山西蓝焰控股股份有限公司,Shanxi Blue Flame Holding Company Limited,000968,蓝焰控股,2000-06-22,山西,太原市,B 采矿业,www.tymqh.com
szA_000969,安泰科技股份有限公司,"ADVANCED TECHNOLOGY & MATERIALS CO.,LTD",000969,安泰科技,2000-05-29,北京,北京市,C 制造业,www.atmcn.com
szA_000970,北京中科三环高技术股份有限公司,"BEIJING ZHONG KE SAN HUAN HIGH-TECH CO., LTD",000970,中科三环,2000-04-20,北京,北京市,C 制造业,www.san-huan.com.cn
szA_000971,高升控股股份有限公司,"GOSUN HOLDING CO., LTD.",000971,高升控股,2000-04-27,湖北,仙桃市,I 信息技术,www.gosun.com
szA_000972,中基健康产业股份有限公司,"CHALKIS HEALTH INDUSTRY CO.,LTD",000972,*ST中基,2000-09-26,新疆,乌鲁木齐市,C 制造业,www.chalkistomato.com
szA_000973,佛山佛塑科技集团股份有限公司,"FSPG HI-TECH CO., LTD",000973,佛塑科技,2000-05-25,广东,佛山市,C 制造业,www.fspg.com.cn
szA_000975,银泰资源股份有限公司,"Yintai Resources Co.,Ltd.",000975,银泰资源,2000-06-08,内蒙古,锡林郭勒盟,B 采矿业,
szA_000976,广东开平春晖股份有限公司,"GUANGDONG KAIPING CHUNHUI CO., LTD.",000976,春晖股份,2000-06-01,广东,江门市,C 制造业,www.my0976.com
szA_000977,浪潮电子信息产业股份有限公司,"Inspur Electronic Information Industry Co.,Ltd",000977,浪潮信息,2000-06-08,山东,济南市,C 制造业,www.inspur.com
szA_000978,桂林旅游股份有限公司,"Guilin Tourism  Co., Ltd.",000978,桂林旅游,2000-05-18,广西,桂林市,N 公共环保,www.guilintravel.com
szA_000979,中弘控股股份有限公司,"ZHONGHONG HOLDING CO.,LTD.",000979,中弘股份,2000-06-16,安徽,宿州市,K 房地产,www.zhonghongholdings.com
szA_000980,安徽众泰汽车股份有限公司,"Anhui Zotye Automobile?Co., Ltd",000980,众泰汽车,2000-06-16,安徽,黄山市,C 制造业,www.hsjinma.com
szA_000981,银亿房地产股份有限公司,"YINYI REAL ESTATE CO,LTD",000981,银亿股份,2000-06-22,甘肃,兰州市,K 房地产,www.chinayinyi.cn
szA_000982,宁夏中银绒业股份有限公司,"NINGXIA ZHONGYIN CASHMERE CO.,LTD",000982,*ST 中绒,2000-07-06,宁夏,银川市,C 制造业,www.zhongyincashmere.com
